iter	Passed	Remaining
0	157	71990
1	282	64242
2	426	64539
3	555	62956
4	684	61852
5	823	61934
6	951	61142
7	1107	62167
8	1248	62144
9	1356	60650
10	1553	62986
11	1699	63016
12	1851	63232
13	1978	62619
14	2097	61805
15	2224	61320
16	2367	61265
17	2528	61669
18	2728	62905
19	2988	65301
20	3174	65903
21	3296	65173
22	3583	67616
23	3863	69712
24	4261	73641
25	4487	74382
26	4675	74469
27	4880	74774
28	5104	75334
29	5318	75707
30	5450	74905
31	5599	74367
32	5741	73775
33	5889	73271
34	6002	72377
35	6150	71921
36	6264	71109
37	6400	70569
38	6528	69974
39	6676	69604
40	6792	68921
41	7048	69642
42	7180	69128
43	7300	68522
44	7495	68626
45	7620	68089
46	7745	67566
47	7891	67240
48	8010	66701
49	8132	66200
50	8268	65822
51	8403	65448
52	8599	65554
53	8743	65255
54	8977	65615
55	9199	65875
56	9399	65958
57	9618	66167
58	9787	66021
59	9976	66010
60	10122	65712
61	10245	65276
62	10355	64764
63	10475	64327
64	10596	63903
65	10723	63526
66	10837	63084
67	10945	62617
68	11067	62235
69	11170	61757
70	11281	61335
71	11397	60946
72	11504	60517
73	11667	60387
74	11837	60291
75	11980	60060
76	12134	59882
77	12552	60992
78	12878	61621
79	13094	61709
80	13370	62064
81	13658	62463
82	13920	62727
83	14345	63698
84	14594	63872
85	15111	65191
86	15324	65174
87	15533	65134
88	15726	65026
89	15883	64769
90	16079	64670
91	16232	64398
92	16461	64429
93	16801	64884
94	17031	64899
95	17171	64572
96	17323	64291
97	17464	63978
98	17598	63638
99	17735	63314
100	17900	63093
101	18065	62873
102	18287	62853
103	18603	63144
104	18991	63666
105	19605	64919
106	19973	65335
107	20542	66381
108	20800	66407
109	21077	66490
110	21383	66655
111	21627	66619
112	21824	66440
113	21998	66188
114	22173	65941
115	22306	65573
116	22535	65487
117	22743	65340
118	22915	65087
119	23250	65294
120	23537	65360
121	23708	65100
122	23904	64911
123	24086	64684
124	24249	64407
125	24438	64199
126	24696	64173
127	24949	64127
128	25209	64098
129	25450	64016
130	25617	63750
131	25791	63501
132	26000	63339
133	26231	63229
134	26585	63411
135	26784	63220
136	26959	62972
137	27152	62766
138	27315	62490
139	27522	62318
140	27769	62235
141	28164	62476
142	28453	62478
143	28752	62496
144	28949	62291
145	29252	62311
146	29594	62409
147	29819	62259
148	29991	61995
149	30217	61844
150	30335	61475
151	30489	61180
152	30626	60853
153	30860	60718
154	31150	60694
155	31419	60623
156	31560	60307
157	31825	60226
158	31967	59913
159	32131	59643
160	32289	59365
161	32431	59057
162	32590	58782
163	32709	58437
164	32928	58274
165	33065	57963
166	33188	57633
167	33318	57316
168	33487	57067
169	33902	57235
170	34138	57096
171	34341	56902
172	34511	56654
173	34905	56770
174	35453	57130
175	35878	57283
176	36360	57519
177	36760	57619
178	37258	57864
179	37543	57775
180	37818	57667
181	38123	57604
182	38280	57316
183	38580	57241
184	38868	57146
185	39031	56868
186	39152	56530
187	39269	56188
188	39384	55847
189	39526	55545
190	39662	55236
191	39787	54914
192	39908	54589
193	40119	54389
194	40284	54125
195	40538	53982
196	40765	53801
197	40931	53542
198	41107	53294
199	41315	53090
200	41496	52850
201	41654	52583
202	41836	52346
203	42060	52163
204	42285	51980
205	42509	51796
206	42775	51661
207	42968	51438
208	43163	51217
209	43363	51003
210	43538	50760
211	43663	50460
212	43780	50152
213	43913	49864
214	44088	49625
215	44306	49434
216	44477	491217217	44613	48910
218	44765	48649
219	44902	48371
220	45061	48120
221	45269	47920
222	45409	47649
223	45541	47371
224	45693	47115
225	45907	46922
226	46135	46745
227	46425	46628
228	46830	46626
229	47039	46426
230	47379	46354
231	47661	46223
232	47922	46071
233	48155	45891
234	48514	45830
235	48812	45709
236	49209	45679
237	49716	45747
238	50082	45681
239	50316	45494
240	50616	45365
241	50883	45206
242	51090	44993
243	51266	44752
244	51638	44683
245	51914	44528
246	52157	44344
247	52364	44130
248	52568	43912
249	52796	43715
250	52990	43489
251	53232	43304
252	53482	43123
253	53770	429254254	54065	428255255	54307	426256256	54548	424257257	54936	423258	55288	42266
259	55469	42028
260	55712	41837
261	55847	41565
262	56095	41378
263	56254	41125
264	56535	40961
265	56793	40780
266	56899	40490
267	57012	40206
268	57140	39934
269	57324	39702
270	57467	39442
271	57599	39176
272	57684	38879
273	57790	38597
274	57881	38307
275	57908	37975
276	57958	37662
277277	58092	374278278	58206	371279279	58362	36893
280	58562	366281281	58662	364282282	58774	361283283	58911	358284284	59072	356285	59152	35367
286	59278	35112
287	59370	34838
288	59413	34538
289	59455	34238
290	59511	33948
291	59590	33672
292	59691	33410
293	59818	33164
294	59954	32924
295	60085	32681
296	60179	32420
297	60342	32196
298	60459	31948
299	60541	31683
300	60610	31412
301	60679	31143
302	60727	30864
303	60776	30588
304	60864	30332
305	60959	30081
306	61024	29816
307	61131	29573
308	61261	29342
309	61349	29091
310	61430	28838
311	61492	28578
312	61538	28311
313	61595	28051
314	61643	27788
315	61681	27522
316	61731	27262
317	61768	26999
318	61794	26732
319	61847	26478
320	61886	26219
321	61926	25963
322	61982	25714
323	62032	25464
324	62088	25217
325	62141	24970
326	62193	24725
327	62235	24476
328	62262	24223
329	62294	23973
330	62331	23727
331	62367	23481
332	62439	23250
333	62511	23020
334	62613	22802
335	62684	22573
336	62732	22338
337	62764	22097
338	62804	21861
339	62839	21624
340	62895	21395
341	62938	21163
342	62973	20930
343	63009	20697
344	63045	20466
345	63074	20234
346	63099	20002
347	63158	19782
348	63190	19554
349	63252	19337
350	63283	19111
351	63310	18885
352	63339	18660
353	63375	18439
354	63401	18216
355	63429	17995
356	63467	17777
357	63497	17559
358	63546	17347
359	63586	17133
360	63620	16918
361	63664	16707
362	63699	16495
363	63731	16283
364	63762	16071
365	63793	15861
366	63828	15652
367	63870	15446
368	63898	15238
369	63930	15032
370	63964	14827
371	63996	14622
372	64092	14433
373	64159	14238
374	64212	14041
375	64269	13845
376	64327	13650
377	64385	13456
378	64428	13259
379	64466	13062
380	64507	12867
381	64549	12673
382	64583	12478
383	64617	12284
384	64650	12090
385	64688	11898
386	64732	11708
387	64816	11526
388	64915	11347
389	64981	11163
390	65022	10975
391	65082	10791
392	65132	10606
393	65173	10421
394	65207	10235
395	65255	10051
396	65287	9867
397	65360	9689
398	65404	9507
399	65444	9325
400	65480	9144
401	65535	8966
402	65570	8786
403	65603	8606
404	65638	8427
405	65676	8249
406	65717	8073
407	65780	7900
408	65810	7723
409	65885	7552
410	65939	7380
411	66075	7216
412	66178	7050
413	66237	6879
414	66290	6708
415	66376	6541
416	66448	6373
417	66480	6202
418	66506	6031
419	66536	5861
420	66580	5693
421	66633	5526
422	66711	5362
423	66744	5194
424	66789	5028
425	66846	4864
426	66894	4699
427	66958	4536
428	67035	4375
429	67068	4211
430	67109	4048
431	67147	3885
432	67290	3729
433	67392	3571
434	67448	3411
435	67509	3251
436	67623	3094
437	67811	2941
438	67904	2784
439	67953	2625
440	68010	2467
441	68059	2309
442	68132	2153
443	68168	1995
444	68210	1839
445	68243	1683
446	68273	1527
447	68299	1372
448	68342	1217
449	68368	1063
450	68400	909
451	68430	756
452	68463	604
453	68496	452
454	68525	301
455	68563	150
456	68596	0
0
